Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,79.79000091552734,80.22000122070312,79.38999938964844,79.87999725341797,71.39482116699219,1416232
2020-01-03,80.97000122070312,81.19000244140625,80.25,80.30999755859375,71.77913665771484,1622784
2020-01-06,79.7300033569336,79.87999725341797,79.2300033569336,79.7699966430664,71.2964859008789,2129260
2020-01-07,80.81999969482422,81.19999694824219,80.18000030517578,81.19999694824219,72.5746078491211,2417468
2020-01-08,81.22000122070312,81.25,80.02999877929688,80.9000015258789,72.30646514892578,1719114
2020-01-09,81.5,81.83999633789062,81.16999816894531,81.48999786376953,72.83379364013672,3014295
2020-01-10,81.62999725341797,82.5,81.6050033569336,82.5,73.73651885986328,2875353
2020-01-13,82.0999984741211,82.58000183105469,81.7300033569336,82.4800033569336,73.71863555908203,1434635
2020-01-14,82.95999908447266,83.5199966430664,82.7699966430664,83.16999816894531,74.3353500366211,2703855
2020-01-15,83.0999984741211,83.7699966430664,83.0999984741211,83.66000366210938,74.7732925415039,2039328
2020-01-16,84.0,84.45999908447266,83.87999725341797,84.45999908447266,75.48831176757812,3058484
2020-01-17,84.73999786376953,84.95999908447266,84.01000213623047,84.05000305175781,75.12187194824219,2401336
2020-01-20,84.0,84.4000015258789,83.83000183105469,83.93000030517578,75.01461029052734,1980399
2020-01-21,83.87999725341797,83.87999725341797,83.19999694824219,83.4800033569336,74.61241149902344,1923944
2020-01-22,83.5,84.55999755859375,83.48999786376953,84.44999694824219,75.4793701171875,3656698
2020-01-23,84.44000244140625,84.94999694824219,84.26000213623047,84.5199966430664,75.54193115234375,2105704
2020-01-24,84.9000015258789,85.4000015258789,84.7699966430664,84.94000244140625,75.91732788085938,2839291
2020-01-28,83.69999694824219,84.06999969482422,83.54000091552734,84.0199966430664,75.09505462646484,2273413
2020-01-29,84.44000244140625,84.86000061035156,84.16000366210938,84.61000061035156,75.62237548828125,1877335
2020-01-30,84.83999633789062,85.44000244140625,84.68000030517578,85.44000244140625,76.36421203613281,3176161
2020-01-31,85.56999969482422,85.97000122070312,84.9000015258789,85.26000213623047,76.2033462524414,6713764
2020-02-03,84.1500015258789,84.94999694824219,84.05999755859375,84.55000305175781,75.56875610351562,2139581
2020-02-04,84.4000015258789,84.69000244140625,83.96499633789062,84.30999755859375,75.354248046875,2564013
2020-02-05,85.0,85.0,83.27999877929688,83.27999877929688,74.43365478515625,3166202
2020-02-06,83.93000030517578,84.3499984741211,83.5,84.2300033569336,75.28274536132812,3581220
2020-02-07,84.62000274658203,84.80000305175781,83.94999694824219,84.80000305175781,75.79219818115234,3368097
2020-02-10,84.73999786376953,84.73999786376953,84.08000183105469,84.31999969482422,75.3631820678711,1818742
2020-02-11,84.80000305175781,85.0,84.5199966430664,84.72000122070312,75.72069549560547,1913033
2020-02-12,86.19999694824219,88.55999755859375,86.19999694824219,88.18000030517578,78.81315612792969,7132862
2020-02-13,88.48999786376953,88.7300033569336,87.87000274658203,88.7300033569336,79.30473327636719,4143011
2020-02-14,89.4000015258789,91.05000305175781,89.30000305175781,90.98999786376953,81.32466888427734,7942600
2020-02-17,90.79000091552734,90.87999725341797,89.25,89.45999908447266,79.95719146728516,2619663
2020-02-18,89.80999755859375,90.26000213623047,89.58000183105469,90.26000213623047,80.6722183227539,3817424
2020-02-19,88.01000213623047,88.1500015258789,87.5,87.83000183105469,80.27918243408203,8050978
